Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Cognitive ID,https://finder.startupnationcentral.org/company_page/cognitive-id,Continuous User Authentication,Security Technologies,2016,1-10,Pre-Funding
ANYCAN TECHNOLOGY,https://finder.startupnationcentral.org/company_page/anycan-technology,Mobility and Balance Platform,Life Sciences & HealthTech,2021,1-10,Pre-Funding
Topicx,https://finder.startupnationcentral.org/company_page/topicx,Conversational AI Chatbot for Businesses,eCommerce & Sales,2020,1-10,Pre-Funding
The Digital Pets Company,https://finder.startupnationcentral.org/company_page/the-digital-pets-company,AI Companion Platform for Immersive Realities,Content & Media,2022,1-10,Seed
cinten,https://finder.startupnationcentral.org/company_page/cinten,Predictive Decision-making Solution,"Enterprise, IT & Data Infrastructure",2018,11-50,Pre-Funding
Particula,https://finder.startupnationcentral.org/company_page/particula,Smart and Connected Edutainment Products,Content & Media,2014,500+,A
Effectivate,https://finder.startupnationcentral.org/company_page/effectivate,AI-based Computerized Cognitive Training for Older Adults,Life Sciences & HealthTech,2018,11-50,Seed
Alpe Audio,https://finder.startupnationcentral.org/company_page/alpe-audio,Audio Platform for e-Learning,Content & Media,2019,1-10,Seed
NeuroAudit,https://finder.startupnationcentral.org/company_page/neuroaudit,Neuromodulation Protocols for Personalized Brain Disease Treatment,Life Sciences & HealthTech,2016,1-10,Seed
Spero Biopharma,https://finder.startupnationcentral.org/company_page/spero-biopharma,Prevention and Treatment of Alzheimer's Disease,Life Sciences & HealthTech,2019,1-10,Pre-Funding
brain.space,https://finder.startupnationcentral.org/company_page/brain-space,Brain Data Cloud,Life Sciences & HealthTech,2018,11-50,Seed
i-BrainTech,https://finder.startupnationcentral.org/company_page/i-braintech,Neuro Sports Training Platform,Life Sciences & HealthTech,2019,11-50,Seed
Conbo.ai,https://finder.startupnationcentral.org/company_page/conbo-ai-1,Smart Maritime Facility Monitoring,Smart Mobility,2019,1-10,Seed
ADAM CogTech,https://finder.startupnationcentral.org/company_page/adam-cogtec,Driver Attention and Awareness Solution,Smart Mobility,2017,1-10,Seed
CogMe,https://finder.startupnationcentral.org/company_page/cogme,"AI-powered Delirium Prediction, Detection, and Prevention",Life Sciences & HealthTech,2020,1-10,Seed
Eyeviation,https://finder.startupnationcentral.org/company_page/eyeviation,AI and Eye-tracking Technology for Fighter Pilots,Aerospace & Aviation,2019,1-10,Pre-Funding
ForSight Robotics,https://finder.startupnationcentral.org/company_page/forsight-robotics,Robotic Platform for Ophthalmic Surgery,Life Sciences & HealthTech,2020,11-50,A
CorrActions,https://finder.startupnationcentral.org/company_page/corractions,Noninvasive Driver-monitoring Platform,Smart Mobility,2019,11-50,A
Revium Recovery,https://finder.startupnationcentral.org/company_page/revium-recovery,Healthcare ,Life Sciences & HealthTech,2021,1-10,Pre-Funding
Table44,https://finder.startupnationcentral.org/company_page/table44,Programmable Hardware Game Platform,Content & Media,2018,1-10,Pre-Funding
ASAT - As Simple As That,https://finder.startupnationcentral.org/company_page/asat-as-simple-as-that,Algorithm for Simplifying Content,Content & Media,2020,1-10,Pre-Funding
MagniLearn,https://finder.startupnationcentral.org/company_page/magnilearn,Lifelong Accelerated Learning,Content & Media,2019,11-50,Seed
OmegaMore,https://finder.startupnationcentral.org/company_page/omegamore,Biotech Products for Chronic Cognitive Diseases,Life Sciences & HealthTech,2013,1-10,Seed
Exegiline Pharma,https://finder.startupnationcentral.org/company_page/exegiline,Multifactorial Treatment of Alzheimer's Disease,Life Sciences & HealthTech,2020,1-10,Pre-Funding
Teeki,https://finder.startupnationcentral.org/company_page/teeki,Preventing and Reducing Technology-based Addictions in Children,Content & Media,2019,1-10,Pre-Funding
CogAid,https://finder.startupnationcentral.org/company_page/cogaid,Assistive Tools for Workers with Cognitive Disabilities,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Myndlift,https://finder.startupnationcentral.org/company_page/myndlift,Accessible Home Neurofeedback Platform,Life Sciences & HealthTech,2014,11-50,Seed
MyFirstApp,https://finder.startupnationcentral.org/company_page/myfirstapp,Educational Mobile Apps for Kids,Content & Media,2011,1-10,Mature
Rail Vision,https://finder.startupnationcentral.org/company_page/rail-safe,Cognitive Fusion Sensor Technology and Safety Systems for the Railway Industry,Smart Mobility,2016,51-200,Public
Timocco,https://finder.startupnationcentral.org/company_page/timocco,Motion-based Gaming Platform for Child Development and Rehabilitation,Life Sciences & HealthTech,2009,11-50,Mature
SparkBeyond,https://finder.startupnationcentral.org/company_page/sparkbeyond,AI-powered Problem-solving Platform,"Enterprise, IT & Data Infrastructure",2013,51-200,Mature
SENSE,https://finder.startupnationcentral.org/company_page/53n53-sense,Data-mining Software,"Enterprise, IT & Data Infrastructure",2014,1-10,Mature
Enabley,https://finder.startupnationcentral.org/company_page/time-to-know-t2k,Digital Training Platform,"Enterprise, IT & Data Infrastructure",2005,51-200,Mature
ReAbility Online,https://finder.startupnationcentral.org/company_page/reability-online,Online System for Language and Movement Rehabilitation,Life Sciences & HealthTech,2009,11-50,Mature
Keystone Heart,https://finder.startupnationcentral.org/company_page/keystone-heart,Embolic Cerebral Protection Devices,Life Sciences & HealthTech,2004,11-50,Acquired
InnerEye,https://finder.startupnationcentral.org/company_page/innereye,Real-time Visual Target Detection,Security Technologies,2013,11-50,Seed
Neurosteer,https://finder.startupnationcentral.org/company_page/neurosteer,Remote Brain Activity Monitoring and Assessment Platform,Life Sciences & HealthTech,2015,11-50,Seed
Intuition Robotics,https://finder.startupnationcentral.org/company_page/intuition-robotics,Cognitive Digital Companions,Life Sciences & HealthTech,2016,51-200,C
Conflu3nce,https://finder.startupnationcentral.org/company_page/conflu3nce,Personalized Solution for Detecting Cognitive Health Changes,Life Sciences & HealthTech,2016,1-10,Pre-Seed
Inpris,https://finder.startupnationcentral.org/company_page/inpris,AI Assistant for Managing Connected Devices While Driving,Smart Mobility,2011,1-10,Mature
