Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
AlgoSensus,https://finder.startupnationcentral.org/company_page/algosensus,AI-based Balance Analysis Platform,Life Sciences & HealthTech,2021,1-10,Pre-Funding
Symetrify,https://finder.startupnationcentral.org/company_page/symetrify,Wearable Training Device for Treatment of Chronic Low Back Pain,Life Sciences & HealthTech,2022,1-10,Seed
MemoApp,https://finder.startupnationcentral.org/company_page/memoapp,Alzheimer's Disease and Dementia Home Care Technology,Life Sciences & HealthTech,2020,1-10,Pre-Funding
1E Therapeutics,https://finder.startupnationcentral.org/company_page/1e-therapeutics,Novel RNA-targeting Drugs,Life Sciences & HealthTech,2021,51-200,Seed
BrainWavesAI,https://finder.startupnationcentral.org/company_page/brainwavesai,AI-based Technology for Continuous Monitoring and Prediction of Epileptic Seizures ,Life Sciences & HealthTech,2021,1-10,Pre-Funding
WMH,https://finder.startupnationcentral.org/company_page/wmh,Remote Monitoring Solution for Seniors,Life Sciences & HealthTech,2022,1-10,Pre-Funding
Headovations,https://finder.startupnationcentral.org/company_page/headovations,Head Support Solutions,Life Sciences & HealthTech,2010,1-10,Mature
Medlife,https://finder.startupnationcentral.org/company_page/medlife,Advanced Medical Solutions,Life Sciences & HealthTech,2011,11-50,Mature
Newton Tech,https://finder.startupnationcentral.org/company_page/newton-tech,AI-based Precision Rehabilitation Solution,Life Sciences & HealthTech,2016,11-50,Pre-Funding
ImmunoBrain Checkpoint,https://finder.startupnationcentral.org/company_page/immunobrain-checkpoint,Disease-modifying Immunotherapies for Neurodegenerative Disorders,Life Sciences & HealthTech,2015,1-10,Seed
Bsense Bio Therapeutics,https://finder.startupnationcentral.org/company_page/bsense-bio-therapeutics,Neuropathic Pain Treatment,Life Sciences & HealthTech,2018,1-10,Seed
Excellent Brain,https://finder.startupnationcentral.org/company_page/excellent-brain,Neurofeedback-based Brain Training Solutions ,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Clexio Biosciences,https://finder.startupnationcentral.org/company_page/clexio-biosciences,Drug Therapies for Treatment of Neurological Conditions,Life Sciences & HealthTech,2018,51-200,Pre-Funding
Javelin Medical,https://finder.startupnationcentral.org/company_page/javelin-medical,Filter Implant for Stroke Prevention,Life Sciences & HealthTech,2012,1-10,Pre-Funding
MemoBoost,https://finder.startupnationcentral.org/company_page/memoboost,Drug Treatment to Inhibit Dementia,Life Sciences & HealthTech,2016,1-10,Seed
Glixogen Therapeutics,https://finder.startupnationcentral.org/company_page/glixogen-therapeutics,Treatment for Enhancing Remyelination in Neurodegenerative Disorders,Life Sciences & HealthTech,2018,1-10,Seed
Tamar Robotics,https://finder.startupnationcentral.org/company_page/tamar-robotics,Robot for Minimally Invasive Neurosurgery,Life Sciences & HealthTech,2018,11-50,Seed
LinkCaring,https://finder.startupnationcentral.org/company_page/linkcaring,Health Information Platform for Children's Health,Life Sciences & HealthTech,2012,1-10,Mature
