Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Rise",="https://finder.startupnationcentral.org/company_page/rise1",="Advanced Monetization and Data-powered Solutions",="Retail & Marketing",="2020",="51-200",="Pre-Funding",
="MyndYou",="https://finder.startupnationcentral.org/company_page/myndyou",="AI-powered Virtual Care Assistant",="Life Sciences & HealthTech",="2016",="11-50",="A",
="Myndlift",="https://finder.startupnationcentral.org/company_page/myndlift",="Accessible Home Neurofeedback Platform",="Life Sciences & HealthTech",="2014",="11-50",="Seed",
="Umoove",="https://finder.startupnationcentral.org/company_page/umoove",="Face and Eye Tracking Technology",="Life Sciences & HealthTech",="2012",="11-50",="Mature",
="BioXtreme",="https://finder.startupnationcentral.org/company_page/bioxtreme",="Stroke Rehabilitation Robotics",="Life Sciences & HealthTech",="2010",="1-10",="Seed",
="Optical Imaging",="https://finder.startupnationcentral.org/company_page/optical-imaging",="Retinal Function Imaging",="Life Sciences & HealthTech",="1998",="1-10",="Mature",
="Innovya Traceless Biometrics",="https://finder.startupnationcentral.org/company_page/innovya-traceless-biometrics",="Traceless Biometric Authentication Technology",="Security Technologies",="2006",="1-10",="Mature",
="Saheylu Technologies",="https://finder.startupnationcentral.org/company_page/saheylu-technologies",="Wireless Systems for Controlling Software with Physiology & Motion",="",="2015",="1-10",="Pre-Funding",
="Articoolo Research",="https://finder.startupnationcentral.org/company_page/articoolo",="Automatic Text Creation","Enterprise, IT & Data Infrastructure",="2014",="11-50",="Seed",
="Nextage Therapeutics",="https://finder.startupnationcentral.org/company_page/micromedic",="Cannabinoid-based Products for Pharmaceutical Use",="Life Sciences & HealthTech",="1982",="11-50",="Public",
="Loginno",="https://finder.startupnationcentral.org/company_page/loginno",="Shipping Container Tracking System",="Smart Mobility",="2010",="1-10",="Pre-Seed",
="ReAbility Online",="https://finder.startupnationcentral.org/company_page/reability-online",="Online System for Language and Movement Rehabilitation",="Life Sciences & HealthTech",="2009",="11-50",="Mature",
="Keystone Heart",="https://finder.startupnationcentral.org/company_page/keystone-heart",="Embolic Cerebral Protection Devices",="Life Sciences & HealthTech",="2004",="11-50",="Acquired",
="Cortica",="https://finder.startupnationcentral.org/company_page/cortica",="Autonomous AI Model Developer",="Smart Mobility",="2007",="51-200",="Mature",
="InnerEye",="https://finder.startupnationcentral.org/company_page/innereye",="Real-time Visual Target Detection",="Security Technologies",="2013",="11-50",="Seed",
="Neurosteer",="https://finder.startupnationcentral.org/company_page/neurosteer",="Remote Brain Activity Monitoring and Assessment Platform",="Life Sciences & HealthTech",="2015",="11-50",="Seed",
="Visior Technologies",="https://finder.startupnationcentral.org/company_page/visior-technologies",="Eye and Brain Stimulation Treatment Platform",="Life Sciences & HealthTech",="2013",="1-10",="Pre-Funding",
="Shekel Scales",="https://finder.startupnationcentral.org/company_page/shekel-scales",="High-precision Weighing Solutions for Retail and Medical Industries",="Industrial Technologies",="",="51-200",="Pre-Funding",
="Neurim Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/neurim-pharmaceuticals",="New Chemical Entities for Insomnia and Alzheimer's Disease",="Life Sciences & HealthTech",="1991",="11-50",="Mature",
="Conflu3nce",="https://finder.startupnationcentral.org/company_page/conflu3nce",="Personalized Solution for Detecting Cognitive Health Changes",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Seed",
="SmellSpace",="https://finder.startupnationcentral.org/company_page/smellspace",="Smell-based Social Network",="",="2010",="1-10",="Mature",
="The Right Cup",="https://finder.startupnationcentral.org/company_page/the-right-cup",="Tricking the Brain into Drinking More Water",="AgriFood-tech & Water",="2015",="1-10",="Mature",
="G-STAT",="https://finder.startupnationcentral.org/company_page/g-stat-software-solutions",="Big-data Predictive-analytics Software","Enterprise, IT & Data Infrastructure",="1998",="51-200",="Mature",
="NovoCure",="https://finder.startupnationcentral.org/company_page/novocure",="Treatment of Brain Tumors Using Electric Fields",="Life Sciences & HealthTech",="1999",="500+",="Public",
="Rimed",="https://finder.startupnationcentral.org/company_page/rimed",="Noninvasive Transcranial Doppler System",="Life Sciences & HealthTech",="1982",="51-200",="Mature",
="CogniFit",="https://finder.startupnationcentral.org/company_page/cognifit",="Individualized Cognitive Training Tools",="Life Sciences & HealthTech",="1999",="51-200",="Mature",
="Silenseed",="https://finder.startupnationcentral.org/company_page/silenseed",="RNAi-based Cancer Drugs and Delivery Systems",="Life Sciences & HealthTech",="2008",="11-50",="Seed",
