Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="SmellTracker",="https://finder.startupnationcentral.org/company_page/smelltracker",="Online Platform for Self-monitoring Sense of Smell",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Funding",
="brain.space",="https://finder.startupnationcentral.org/company_page/brain-space",="Brain Data Cloud",="Life Sciences & HealthTech",="2018",="11-50",="Seed",
="i-BrainTech",="https://finder.startupnationcentral.org/company_page/i-braintech",="Neuro Sports Training Platform",="Life Sciences & HealthTech",="2019",="11-50",="Seed",
="SHOPPER AI",="https://finder.startupnationcentral.org/company_page/shopper-ai",="AI-powered Shopping Assistance Platform",="Retail & Marketing",="2019",="11-50",="A",
="Galimedix Therapeutics",="https://finder.startupnationcentral.org/company_page/galimedix-therapeutics",="Novel Treatment for Ophthalmic Diseases",="Life Sciences & HealthTech",="2017",="1-10",="Pre-Funding",
="LuSeed Vascular",="https://finder.startupnationcentral.org/company_page/luseed-vascular",="Vascular Remodeling Device",="Life Sciences & HealthTech",="2017",="1-10",="Seed",
="BrainWatch Tech",="https://finder.startupnationcentral.org/company_page/brainwatch-tech",="Continuous Pupillary Monitoring System",="Life Sciences & HealthTech",="2020",="1-10",="Seed",
="Selene Therapeutics",="https://finder.startupnationcentral.org/company_page/selene-therapeutics",="Epilepsy Therapy",="Life Sciences & HealthTech",="2020",="1-10",="Seed",
="CogMe",="https://finder.startupnationcentral.org/company_page/cogme","AI-powered Delirium Prediction, Detection, and Prevention",="Life Sciences & HealthTech",="2020",="1-10",="Seed",
="Pimea Allergy",="https://finder.startupnationcentral.org/company_page/pimea-allergy",="Personalized AI-based Solution for Allergies",="Life Sciences & HealthTech",="2022",="1-10",="Pre-Funding",
="N.T.W Power Boost",="https://finder.startupnationcentral.org/company_page/n-t-w-power-boost",="EEG-based Diagnostic System for Eating Behaviors",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="NeuraLight",="https://finder.startupnationcentral.org/company_page/neuralight",="AI-driven Platform for Digitizing Neurology",="Life Sciences & HealthTech",="2021",="11-50",="A",
