Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="NeuroBlade",="https://finder.startupnationcentral.org/company_page/neuroblade",="High-performance Chip Solution for Data Analytics Workloads",="Industrial Technologies",="2016",="51-200",="B",
="Inthegame",="https://finder.startupnationcentral.org/company_page/inthegame",="Viewer Engagement and Monetization Platform for Broadcasters and Video Content Owners",="Retail & Marketing",="2015",="11-50",="Pre-Funding",
="GeoCloud",="https://finder.startupnationcentral.org/company_page/geocloud",="Cloud-powered Geoinformation Platform","Enterprise, IT & Data Infrastructure",="2018",="1-10",="Seed",
="FamilyKeeper",="https://finder.startupnationcentral.org/company_page/koala-apps",="Protecting Children from Online Threats",="Security Technologies",="2016",="1-10",="Pre-Funding",
="TRACXPOiNT",="https://finder.startupnationcentral.org/company_page/tracxpoint",="AI-powered Grocery Cart Technology",="Retail & Marketing",="2015",="11-50",="Pre-Funding",
="Kardome Technology",="https://finder.startupnationcentral.org/company_page/kardome-technology",="Voice User Interface Technology",="Smart Mobility",="2019",="11-50",="Seed",
="VoicEncode",="https://finder.startupnationcentral.org/company_page/voicencode",="Speech Recognition Technology","Enterprise, IT & Data Infrastructure",="2016",="11-50",="Seed",
="QualiTalk",="https://finder.startupnationcentral.org/company_page/mindecipher",="Video Communication Coach for Sales Teams",="Retail & Marketing",="2019",="1-10",="Pre-Funding",
="Insight Acoustics",="https://finder.startupnationcentral.org/company_page/insight-acoustics",="Advanced Acoustic Sensors and Microphones",="Security Technologies",="2015",="1-10",="Pre-Funding",
="MovMix",="https://finder.startupnationcentral.org/company_page/movmix-com",="Video Editing",="Content & Media",="2016",="1-10",="Pre-Funding",
="Shekel Brainweigh",="https://finder.startupnationcentral.org/company_page/shekel-brainweigh",="Mobile Retail Technologies","Enterprise, IT & Data Infrastructure",="1971",="1-10",="Public",
="Datagen",="https://finder.startupnationcentral.org/company_page/datagen-technologies",="Synthetic Data to Train Deep-learning Systems","Enterprise, IT & Data Infrastructure",="2017",="51-200",="B",
="AntisepTech",="https://finder.startupnationcentral.org/company_page/antiseptech",="Digital Platform for Infectious Disease Prevention",="Life Sciences & HealthTech",="2015",="1-10",="Pre-Funding",
="Smart Learning IL",="https://finder.startupnationcentral.org/company_page/aprende-hebreo",="Language-learning Platform",="Content & Media",="2017",="1-10",="Pre-Funding",
="KanduAI",="https://finder.startupnationcentral.org/company_page/redfalcon",="AI-powered Audience Analytics",="Industrial Technologies",="2018",="1-10",="Seed",
="Hi Auto",="https://finder.startupnationcentral.org/company_page/hi-auto",="AI-based Background Noise Elimination Solution",="Retail & Marketing",="2019",="11-50",="Seed",
="IDEEZA",="https://finder.startupnationcentral.org/company_page/ideeza",="Generative AI Tool for Product Engineering","Enterprise, IT & Data Infrastructure",="2018",="11-50",="Mature",
="SnatchBot",="https://finder.startupnationcentral.org/company_page/snatchbot",="Bot-building Platform for Enterprises","Enterprise, IT & Data Infrastructure",="2015",="11-50",="Pre-Funding",
="Efficacy Care",="https://finder.startupnationcentral.org/company_page/efficacy-care",="Prescriptive Health Analytics Platform",="Life Sciences & HealthTech",="2015",="1-10",="Pre-Seed",
="Proofig",="https://finder.startupnationcentral.org/company_page/proofig",="Automated Quality Assurance for Research Articles","Enterprise, IT & Data Infrastructure",="2017",="1-10",="Mature",
="PomVom",="https://finder.startupnationcentral.org/company_page/pomvom",="Real-time Photo Exchange App",="Content & Media",="2015",="51-200",="Public",
="Verbit",="https://finder.startupnationcentral.org/company_page/verbit-software",="A/V Captioning and Transcription Solutions","Enterprise, IT & Data Infrastructure",="2017",="500+",="E",
="Dride",="https://finder.startupnationcentral.org/company_page/dride",="Connected Dashcam",="Smart Mobility",="2016",="1-10",="Pre-Funding",
="Newsight Imaging",="https://finder.startupnationcentral.org/company_page/newsight-imaging",="CMOS Image Sensor Chips for Machine Vision and Spectral Analysis",="Industrial Technologies",="2016",="11-50",="A",
="General Robotics",="https://finder.startupnationcentral.org/company_page/general-robotics",="Robotics Platforms for Defense and Homeland Security",="Security Technologies",="2009",="11-50",="Acquired",
="SBN Signature Biometrics",="https://finder.startupnationcentral.org/company_page/sign-buy",="Handwritten Signature Solutions for Mobile Financial Processes",="Security Technologies",="2018",="1-10",="Pre-Funding",
="TikTalk",="https://finder.startupnationcentral.org/company_page/tiktalk2me",="AI-based Telehealth Platform for Speech Therapy",="Life Sciences & HealthTech",="2015",="1-10",="A",
="Communeteer Software",="https://finder.startupnationcentral.org/company_page/communeteer",="Volunteer Engagement and Management Platform","Enterprise, IT & Data Infrastructure",="2016",="1-10",="Pre-Funding",
="Wearable Devices",="https://finder.startupnationcentral.org/company_page/wearable-devices","Touch-free, Gesture-based Control of Digital Devices",="Life Sciences & HealthTech",="2014",="11-50",="Public",
="Eloops",="https://finder.startupnationcentral.org/company_page/eventloops",="Employee Engagement Platform","Enterprise, IT & Data Infrastructure",="2017",="11-50",="Seed",
="Mantu",="https://finder.startupnationcentral.org/company_page/mantu",="P2P Messaging Platform","Enterprise, IT & Data Infrastructure",="2015",="1-10",="Pre-Funding",
="MultiSense",="https://finder.startupnationcentral.org/company_page/multisense",="Mobile Multifactor Biometric Authentication",="Security Technologies",="2015",="1-10",="Mature",
="Onvego",="https://finder.startupnationcentral.org/company_page/onvego-ltd",="Conversational App Platform","Enterprise, IT & Data Infrastructure",="2015",="11-50",="Mature",
="D-ID",="https://finder.startupnationcentral.org/company_page/de-identification",="Creative AI Solution",="Content & Media",="2017",="51-200",="B",
="Serendi Systems",="https://finder.startupnationcentral.org/company_page/serendi",="OCR and Handwriting Recognition Solutions","Enterprise, IT & Data Infrastructure",="2016",="1-10",="Pre-Funding",
="SAIPS",="https://finder.startupnationcentral.org/company_page/saips",="Customized Algorithmic Solutions in Computer Vision and Machine Learning","Enterprise, IT & Data Infrastructure",="2013",="11-50",="Acquired",
="QualityLine",="https://finder.startupnationcentral.org/company_page/qualityline-production-technologies",="Manufacturing Data Analytics",="Industrial Technologies",="2014",="11-50",="Seed",
="Yevul Info",="https://finder.startupnationcentral.org/company_page/yevul-info",="Algorithm-based Fertilization and Stress Alerts",="AgriFood-tech & Water",="2022",="1-10",="Seed",
="Dtect Vision",="https://finder.startupnationcentral.org/company_page/dtect-vision",="Dynamic Biometric Recognition Technology",="Retail & Marketing",="2021",="1-10",="Pre-Funding",
