Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Neurogenesis",="https://finder.startupnationcentral.org/company_page/neurogenesis",="Neurodegenerative Disease Cell Therapy",="Life Sciences & HealthTech",="2018",="1-10",="A",
="Neurogait",="https://finder.startupnationcentral.org/company_page/neurogait",="Diagnosing Dementia Using Artificial Intelligence",="Life Sciences & HealthTech",="2019",="1-10",="Seed",
="NeuroAudit",="https://finder.startupnationcentral.org/company_page/neuroaudit",="Neuromodulation Protocols for Personalized Brain Disease Treatment",="Life Sciences & HealthTech",="2016",="1-10",="Seed",
="Neuromagen Pharma",="https://finder.startupnationcentral.org/company_page/neuromagen",="Novel Drugs for Neurodegenerative Diseases",="Life Sciences & HealthTech",="2021",="1-10",="Seed",
="Neurobrave",="https://finder.startupnationcentral.org/company_page/neurobrave",="Software Platform for Analyzing Neural Biomarkers/Insights",="Life Sciences & HealthTech",="2020",="11-50",="Seed",
="NeuroTrigger",="https://finder.startupnationcentral.org/company_page/neurotrigger",="Eyelid Pacemaker for Patients Experiencing Facial Paralysis",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="Neurogenic",="https://finder.startupnationcentral.org/company_page/neurogenic",="Blood Test for Mental Disorder Diagnostics",="Life Sciences & HealthTech",="1995",="1-10",="Mature",
="Neurosteer",="https://finder.startupnationcentral.org/company_page/neurosteer",="Remote Brain Activity Monitoring and Assessment Platform",="Life Sciences & HealthTech",="2015",="11-50",="Seed",
="NeuroQuest",="https://finder.startupnationcentral.org/company_page/neuroquest",="Immuno-based Blood Tests for Early Detection of Alzheimer's Disease",="Life Sciences & HealthTech",="2008",="11-50",="A",
="NeuroTrax",="https://finder.startupnationcentral.org/company_page/neurotrax",="Cognitive Assessment",="Life Sciences & HealthTech",="2000",="1-10",="Mature",
="Neurotech Solutions",="https://finder.startupnationcentral.org/company_page/neurotech-solutions",="AI-based Technology for Diagnosing ADHD",="Life Sciences & HealthTech",="2008",="11-50",="Mature",
="NeuroDerm",="https://finder.startupnationcentral.org/company_page/neuroderm",="Drug-device Combination Solutions for Central Nervous System Disorders",="Life Sciences & HealthTech",="2003",="51-200",="Mature",
="Neurolief",="https://finder.startupnationcentral.org/company_page/neurolief",="Brain Neuromodulation Technology",="Life Sciences & HealthTech",="2013",="11-50",="Mature",
="Neuronix AI Labs",="https://finder.startupnationcentral.org/company_page/neuronix-ai-labs",="Computer Vision-based Artificial Intelligence","Enterprise, IT & Data Infrastructure",="2020",="11-50",="Seed",
="NeuroBlade",="https://finder.startupnationcentral.org/company_page/neuroblade",="High-performance Chip Solution for Data Analytics Workloads",="Industrial Technologies",="2016",="51-200",="B",
="NeuroHELP",="https://finder.startupnationcentral.org/company_page/neurohelp",="Portable Neurotechnology for Forecasting Epileptic Seizures",="Life Sciences & HealthTech",="2018",="11-50",="Pre-Funding",
="Neuro-Can",="https://finder.startupnationcentral.org/company_page/neuro-can",="Online Neuropediatric Clinic",="Life Sciences & HealthTech",="2017",="1-10",="Pre-Funding",
